Date,Campaign,Platform,Impressions,Clicks,Cost,Conversions
2025-01-01,Winter Sale,Facebook,50000,1200,150,45
2025-01-02,SEO Campaign,Google,42000,980,120,39
2025-01-03,Brand Awareness,Instagram,65000,1450,200,58
2025-01-04,Product Launch,LinkedIn,30000,650,180,25
2025-01-05,Email Promotion,Email,25000,780,60,35
2025-01-06,Remarketing,Google,47000,1100,140,50
2025-01-07,Festival Offer,Facebook,55000,1350,170,60
2025-01-08,Flash Sale,Instagram,60000,1500,210,65
2025-01-09,Organic SEO,Google,39000,900,90,42
2025-01-10,Lead Generation,LinkedIn,28000,620,160,28
